ciudad,fecha,hora,latitud,longitud,temperatura_celsius,temperatura_kelvin,descripcion
madrid,2025-08-03,00:30:00,40.5,-3.75,22.49,295.64,Temperatura día 2025-08-03 a la hora 00:30:00 de la latitud 40.500 y longitud -3.750 : 22.49°C
madrid,2025-08-03,01:30:00,40.5,-3.75,21.22,294.37,Temperatura día 2025-08-03 a la hora 01:30:00 de la latitud 40.500 y longitud -3.750 : 21.22°C
madrid,2025-08-03,02:30:00,40.5,-3.75,20.35,293.5,Temperatura día 2025-08-03 a la hora 02:30:00 de la latitud 40.500 y longitud -3.750 : 20.35°C
madrid,2025-08-03,03:30:00,40.5,-3.75,19.74,292.89,Temperatura día 2025-08-03 a la hora 03:30:00 de la latitud 40.500 y longitud -3.750 : 19.74°C
madrid,2025-08-03,04:30:00,40.5,-3.75,19.11,292.26,Temperatura día 2025-08-03 a la hora 04:30:00 de la latitud 40.500 y longitud -3.750 : 19.11°C
madrid,2025-08-03,05:30:00,40.5,-3.75,18.82,291.97,Temperatura día 2025-08-03 a la hora 05:30:00 de la latitud 40.500 y longitud -3.750 : 18.82°C
madrid,2025-08-03,06:30:00,40.5,-3.75,20.52,293.67,Temperatura día 2025-08-03 a la hora 06:30:00 de la latitud 40.500 y longitud -3.750 : 20.52°C
madrid,2025-08-03,07:30:00,40.5,-3.75,23.47,296.62,Temperatura día 2025-08-03 a la hora 07:30:00 de la latitud 40.500 y longitud -3.750 : 23.47°C
madrid,2025-08-03,08:30:00,40.5,-3.75,26.88,300.03,Temperatura día 2025-08-03 a la hora 08:30:00 de la latitud 40.500 y longitud -3.750 : 26.88°C
madrid,2025-08-03,09:30:00,40.5,-3.75,30.73,303.88,Temperatura día 2025-08-03 a la hora 09:30:00 de la latitud 40.500 y longitud -3.750 : 30.73°C
madrid,2025-08-03,10:30:00,40.5,-3.75,33.31,306.46,Temperatura día 2025-08-03 a la hora 10:30:00 de la latitud 40.500 y longitud -3.750 : 33.31°C
madrid,2025-08-03,11:30:00,40.5,-3.75,34.91,308.06,Temperatura día 2025-08-03 a la hora 11:30:00 de la latitud 40.500 y longitud -3.750 : 34.91°C
madrid,2025-08-03,12:30:00,40.5,-3.75,35.92,309.07,Temperatura día 2025-08-03 a la hora 12:30:00 de la latitud 40.500 y longitud -3.750 : 35.92°C
madrid,2025-08-03,13:30:00,40.5,-3.75,36.52,309.67,Temperatura día 2025-08-03 a la hora 13:30:00 de la latitud 40.500 y longitud -3.750 : 36.52°C
madrid,2025-08-03,14:30:00,40.5,-3.75,36.76,309.91,Temperatura día 2025-08-03 a la hora 14:30:00 de la latitud 40.500 y longitud -3.750 : 36.76°C
madrid,2025-08-03,15:30:00,40.5,-3.75,36.63,309.78,Temperatura día 2025-08-03 a la hora 15:30:00 de la latitud 40.500 y longitud -3.750 : 36.63°C
madrid,2025-08-03,16:30:00,40.5,-3.75,36.07,309.22,Temperatura día 2025-08-03 a la hora 16:30:00 de la latitud 40.500 y longitud -3.750 : 36.07°C
madrid,2025-08-03,17:30:00,40.5,-3.75,35.16,308.31,Temperatura día 2025-08-03 a la hora 17:30:00 de la latitud 40.500 y longitud -3.750 : 35.16°C
madrid,2025-08-03,18:30:00,40.5,-3.75,33.09,306.24,Temperatura día 2025-08-03 a la hora 18:30:00 de la latitud 40.500 y longitud -3.750 : 33.09°C
madrid,2025-08-03,19:30:00,40.5,-3.75,30.02,303.17,Temperatura día 2025-08-03 a la hora 19:30:00 de la latitud 40.500 y longitud -3.750 : 30.02°C
madrid,2025-08-03,20:30:00,40.5,-3.75,28.1,301.25,Temperatura día 2025-08-03 a la hora 20:30:00 de la latitud 40.500 y longitud -3.750 : 28.10°C
madrid,2025-08-03,21:30:00,40.5,-3.75,26.94,300.09,Temperatura día 2025-08-03 a la hora 21:30:00 de la latitud 40.500 y longitud -3.750 : 26.94°C
madrid,2025-08-03,22:30:00,40.5,-3.75,25.37,298.52,Temperatura día 2025-08-03 a la hora 22:30:00 de la latitud 40.500 y longitud -3.750 : 25.37°C
madrid,2025-08-03,23:30:00,40.5,-3.75,23.6,296.75,Temperatura día 2025-08-03 a la hora 23:30:00 de la latitud 40.500 y longitud -3.750 : 23.60°C
madrid,2025-08-04,00:30:00,40.5,-3.75,22.32,295.47,Temperatura día 2025-08-04 a la hora 00:30:00 de la latitud 40.500 y longitud -3.750 : 22.32°C
madrid,2025-08-04,01:30:00,40.5,-3.75,21.38,294.53,Temperatura día 2025-08-04 a la hora 01:30:00 de la latitud 40.500 y longitud -3.750 : 21.38°C
madrid,2025-08-04,02:30:00,40.5,-3.75,20.64,293.79,Temperatura día 2025-08-04 a la hora 02:30:00 de la latitud 40.500 y longitud -3.750 : 20.64°C
madrid,2025-08-04,03:30:00,40.5,-3.75,20.04,293.19,Temperatura día 2025-08-04 a la hora 03:30:00 de la latitud 40.500 y longitud -3.750 : 20.04°C
madrid,2025-08-04,04:30:00,40.5,-3.75,19.49,292.64,Temperatura día 2025-08-04 a la hora 04:30:00 de la latitud 40.500 y longitud -3.750 : 19.49°C
madrid,2025-08-04,05:30:00,40.5,-3.75,19.53,292.68,Temperatura día 2025-08-04 a la hora 05:30:00 de la latitud 40.500 y longitud -3.750 : 19.53°C
madrid,2025-08-04,06:30:00,40.5,-3.75,21.51,294.66,Temperatura día 2025-08-04 a la hora 06:30:00 de la latitud 40.500 y longitud -3.750 : 21.51°C
madrid,2025-08-04,07:30:00,40.5,-3.75,24.14,297.29,Temperatura día 2025-08-04 a la hora 07:30:00 de la latitud 40.500 y longitud -3.750 : 24.14°C
madrid,2025-08-04,08:30:00,40.5,-3.75,27.05,300.2,Temperatura día 2025-08-04 a la hora 08:30:00 de la latitud 40.500 y longitud -3.750 : 27.05°C
madrid,2025-08-04,09:30:00,40.5,-3.75,29.98,303.13,Temperatura día 2025-08-04 a la hora 09:30:00 de la latitud 40.500 y longitud -3.750 : 29.98°C
madrid,2025-08-04,10:30:00,40.5,-3.75,33.04,306.19,Temperatura día 2025-08-04 a la hora 10:30:00 de la latitud 40.500 y longitud -3.750 : 33.04°C
madrid,2025-08-04,11:30:00,40.5,-3.75,35.6,308.75,Temperatura día 2025-08-04 a la hora 11:30:00 de la latitud 40.500 y longitud -3.750 : 35.60°C
madrid,2025-08-04,12:30:00,40.5,-3.75,36.98,310.13,Temperatura día 2025-08-04 a la hora 12:30:00 de la latitud 40.500 y longitud -3.750 : 36.98°C
madrid,2025-08-04,13:30:00,40.5,-3.75,37.76,310.91,Temperatura día 2025-08-04 a la hora 13:30:00 de la latitud 40.500 y longitud -3.750 : 37.76°C
madrid,2025-08-04,14:30:00,40.5,-3.75,38.05,311.2,Temperatura día 2025-08-04 a la hora 14:30:00 de la latitud 40.500 y longitud -3.750 : 38.05°C
madrid,2025-08-04,15:30:00,40.5,-3.75,37.98,311.13,Temperatura día 2025-08-04 a la hora 15:30:00 de la latitud 40.500 y longitud -3.750 : 37.98°C
